Fibre_GT,Fibre_Assess,Total_GTcontours,Total_Assess_contours,IoU_Score_Assess_GT,GT_proportion_membrane_included,GT_proportion_mito_mass_missed,Assess_proportion_membrane_included,Assess_proportion_mito_mass_missed
40,not_found,489,10,0,70.19038076152304,0.2567693744164332,0,0
41,not_found,489,10,0,14.741729541497389,12.966117736134771,0,0
42,not_found,489,10,0,29.237406067353188,2.883695503621703,0,0
43,not_found,489,10,0,70.56724267468068,0.0,0,0
44,not_found,489,10,0,80.0,3.9864610755923278,0,0
45,not_found,489,10,0,66.38991389913899,5.8086392451717535,0,0
46,not_found,489,10,0,60.98062243100411,0.0,0,0
47,not_found,489,10,0,68.67960446301095,7.25250626566416,0,0
48,not_found,489,10,0,58.48988439306358,0.7216014897579144,0,0
49,not_found,489,10,0,53.54283426741393,2.0644658681468497,0,0
50,not_found,489,10,0,91.09442060085837,0.044228217602830605,0,0
51,not_found,489,10,0,91.24804326170485,0.0,0,0
52,not_found,489,10,0,98.50441876274643,0.3411910669975186,0,0
53,not_found,489,10,0,65.65302144249513,3.0301568154402894,0,0
54,not_found,489,10,0,97.2243940578577,1.6676141747204851,0,0
55,not_found,489,10,0,89.942145082332,0.04397053973837529,0,0
56,not_found,489,10,0,69.13587639978441,0.48575321367217583,0,0
57,not_found,489,10,0,97.19298245614036,0.1557632398753894,0,0
58,not_found,489,10,0,67.9689140936778,1.263986738499793,0,0
59,not_found,489,10,0,80.38479157123226,1.7112299465240641,0,0
60,not_found,489,10,0,47.306446864880776,0.0,0,0
61,not_found,489,10,0,86.81340085703155,19.400222139948166,0,0
62,not_found,489,10,0,92.22743870631194,13.54416026206375,0,0
63,not_found,489,10,0,46.47977619769204,4.836292367996311,0,0
64,not_found,489,10,0,64.27072881510534,4.074370607597189,0,0
65,not_found,489,10,0,40.6555090655509,1.938781871454398,0,0
66,not_found,489,10,0,58.42831813576495,0.8101707590676804,0,0
67,not_found,489,10,0,36.90993339125398,0.021291696238467,0,0
68,not_found,489,10,0,61.20553705975118,4.51822693821667,0,0
69,not_found,489,10,0,84.62914381111376,0.4270051933064051,0,0
70,not_found,489,10,0,62.85084856396866,2.0595513690428677,0,0
71,not_found,489,10,0,62.00125667609174,8.07892969678186,0,0
72,not_found,489,10,0,82.10633946830266,16.943753111000497,0,0
73,not_found,489,10,0,63.545526733721545,31.840990550667968,0,0
74,not_found,489,10,0,99.62301587301587,58.28614571536429,0,0
75,not_found,489,10,0,94.7876121171095,11.346371423953451,0,0
76,not_found,489,10,0,88.989382618954,0.882768361581921,0,0
77,not_found,489,10,0,99.26050420168067,0.2144607843137255,0,0
78,not_found,489,10,0,78.1381090674411,8.561967833491012,0,0
79,not_found,489,10,0,95.60279557367501,2.9124860646599777,0,0
80,not_found,489,10,0,59.83236621534493,24.698081932275635,0,0
81,not_found,489,10,0,83.43621399176955,15.693673695893452,0,0
82,not_found,489,10,0,85.36931818181817,2.747584541062802,0,0
83,not_found,489,10,0,61.26224156692056,8.933640880056778,0,0
84,not_found,489,10,0,83.31928049465992,22.531715388858245,0,0
85,not_found,489,10,0,86.55162578436966,0.78039430449069,0,0
86,not_found,489,10,0,77.80036375307586,14.484766559218052,0,0
87,not_found,489,10,0,73.41211225997046,17.63422615440553,0,0
88,not_found,489,10,0,75.50312283136711,22.075875267364626,0,0
89,not_found,489,10,0,76.55817911082748,15.238863132432979,0,0
90,not_found,489,10,0,73.35186656076252,14.390644631294094,0,0
91,not_found,489,10,0,69.81728742094168,0.634593945630735,0,0
92,not_found,489,10,0,72.85011556925265,18.62052868063255,0,0
93,not_found,489,10,0,69.47884416924664,0.47046962950516674,0,0
94,not_found,489,10,0,59.960317460317455,10.362986646605227,0,0
95,not_found,489,10,0,74.50857643670965,2.814009661835749,0,0
96,not_found,489,10,0,82.4595075367475,18.036815505169937,0,0
97,not_found,489,10,0,53.89221556886228,48.29258828094684,0,0
98,not_found,489,10,0,48.0651285046729,35.70356606874866,0,0
99,not_found,489,10,0,72.65231333027943,30.53571428571429,0,0
100,not_found,489,10,0,46.84740193058123,3.0819868342309995,0,0
101,not_found,489,10,0,69.26528323051038,56.18382871931613,0,0
102,not_found,489,10,0,86.20248538011695,0.8844023584062891,0,0
103,not_found,489,10,0,68.56240126382306,0.5475614414873297,0,0
104,not_found,489,10,0,61.91929467616141,10.931810658722277,0,0
105,not_found,489,10,0,61.985773997213464,8.813559322033898,0,0
106,not_found,489,10,0,33.37959750173491,9.21622237411711,0,0
107,not_found,489,10,0,53.06238904387522,27.067997504678726,0,0
108,not_found,489,10,0,65.31149793861658,0.0,0,0
109,not_found,489,10,0,60.46387345019239,0.6019719771665801,0,0
110,not_found,489,10,0,74.94949494949495,12.41254424232447,0,0
111,not_found,489,10,0,35.215656943405634,0.0,0,0
112,not_found,489,10,0,74.16025044420002,62.75320380322448,0,0
113,not_found,489,10,0,77.11267605633803,0.16175071360608945,0,0
114,not_found,489,10,0,75.41552074614373,1.031047265987025,0,0
115,not_found,489,10,0,92.96714579055441,0.7015826399086311,0,0
116,not_found,489,10,0,60.46991404011462,14.892297282057065,0,0
117,not_found,489,10,0,38.681456022496484,24.757498880764064,0,0
